Id,UserName,UserURL,Version,Score,Title,Text,URL
gp:AOqpTOFgXkYBf428RCnyRlGDx1HZOcEy8e99y9fVKK5-GyC3a-WkMa7NYCp3LcYlvIOF898-1lUb7grzDaLX6LI,Karol Danisz,https://play-lh.googleusercontent.com/a-/AOh14GjYvGg0Ei7Sp9wJ0C6eBNxRMybLnI4WVBUc4zS_Cg,1.18.2.03,4,,Co z aktualizacjami?!,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOFgXkYBf428RCnyRlGDx1HZOcEy8e99y9fVKK5-GyC3a-WkMa7NYCp3LcYlvIOF898-1lUb7grzDaLX6LI
gp:AOqpTOGSdjMT1IEpvrr16orVYeP_uJCLHvyxlizRnKGRriAJI6G6U6A5TqXrHq7RG2tXoU9CcPelBDVAdTyTnzg,Me And Reagan,https://play-lh.googleusercontent.com/a-/AOh14GitFiUIaNOIAe2u-u4fjdDUBK89Nddv0u62omhD,1.18.2.03,5,,This game is so fun!,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOGSdjMT1IEpvrr16orVYeP_uJCLHvyxlizRnKGRriAJI6G6U6A5TqXrHq7RG2tXoU9CcPelBDVAdTyTnzg
gp:AOqpTOEepFWFlvenWhVdkJf84RCq-J2WQjMzaFKhFgU7CwP8RMvzMECmhO0OffK4UCh-b4GGjdYPoTp64Wd_jME,Aapp Ppaa,https://play-lh.googleusercontent.com/a/AATXAJwmhvuHYQgi7NalXjxmFFarkBVe9QvdzgJcUdDj=mo,1.18.2.03,5,,The mobs are so hard to fight,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOEepFWFlvenWhVdkJf84RCq-J2WQjMzaFKhFgU7CwP8RMvzMECmhO0OffK4UCh-b4GGjdYPoTp64Wd_jME
gp:AOqpTOFfWQwj8teX5luMT2TTFxdhxSe0Aja0fEKB81a8bQ4N705WHeiXXGMoF2MzaXLAz_ldJX6Gy9fRkkjHOfw,Asher Exon,https://play-lh.googleusercontent.com/a/AATXAJxmJcIfuTTdDH8d7IpQ4lYkoSaewXck24hIa-Ga=mo,1.18.2.03,2,,"There is a lisence error even though I am connected to the internet and bought the game, I can't play it even though I payed for it.",https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOFfWQwj8teX5luMT2TTFxdhxSe0Aja0fEKB81a8bQ4N705WHeiXXGMoF2MzaXLAz_ldJX6Gy9fRkkjHOfw
gp:AOqpTOHxxkTNQXIDSKFE-HBEURbRGbRCz_P9FDTgp2u_x_H9zP_ORAvd1Nr3SaKbS8I1SfpNPaF1Gqas6gkJnSs,fluffy boi gamer,https://play-lh.googleusercontent.com/a-/AOh14GiKJ56mPsd9WfxGvTlBMDU4VySmhufoXwN2NrGZ,1.18.2.03,3,,"I keep getting code pufferfish, fix this pls",https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOHxxkTNQXIDSKFE-HBEURbRGbRCz_P9FDTgp2u_x_H9zP_ORAvd1Nr3SaKbS8I1SfpNPaF1Gqas6gkJnSs
gp:AOqpTOHrNPMeXAVQompVEgMbm-9pzkC2vgy7J_GH90DG7XUpOXMukno_Uf4RP4BWov_jjciQKw9BheTkOYzVH4Q,Aaron Gonzalez,https://play-lh.googleusercontent.com/a-/AOh14GjHTHxOuL3cfEXHSqTe2JgGxuPKHFy-WXI1z9EM,1.18.2.03,4,,I gave it a three star because when I try to join a friend it doesn't load In and when you click cancel it freezes Edit: turns out I have to many worlds,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOHrNPMeXAVQompVEgMbm-9pzkC2vgy7J_GH90DG7XUpOXMukno_Uf4RP4BWov_jjciQKw9BheTkOYzVH4Q
gp:AOqpTOHblAJDSH_6NDOVofmJ-G-iSLREPJM4PqtrFjRbfylopAdIG-5dyFn7CFGjCFKJqSq-zbfWcMUNK2-KFqg,Lilly Meehan,https://play-lh.googleusercontent.com/a/AATXAJzRTbYnLC_ByC_pjz8mazozdgUND3uX5mvNv8eX=mo,1.18.2.03,5,,Its a very good game 😁,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOHblAJDSH_6NDOVofmJ-G-iSLREPJM4PqtrFjRbfylopAdIG-5dyFn7CFGjCFKJqSq-zbfWcMUNK2-KFqg
gp:AOqpTOFlhmpdhg1mb4yb2byW5ElshMP1qzTUeD7e2RNVJ91PrBypWU_hoeqs2JwgyW_Ku6bfxe8C--8y_KUt0jo,grant shaw,https://play-lh.googleusercontent.com/a/AATXAJxTbcUlrW8Z0GY16bfhZ3QMDX7BTa_duXvpl1En=mo,1.18.2.03,5,,dose any one wanna play I'm bored,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOFlhmpdhg1mb4yb2byW5ElshMP1qzTUeD7e2RNVJ91PrBypWU_hoeqs2JwgyW_Ku6bfxe8C--8y_KUt0jo
gp:AOqpTOEDVeQVHOJ-mccMn9z3NN7xDiuyNmEHVBOFkG0gKHCt-pTp_QhQaWZHyHWCtpntXB0VNcqVjmBicMKdgtU,donald williams,https://play-lh.googleusercontent.com/a-/AOh14GhGxVAst3i215p8Z-9_sWimGHrV39oSiLiDnuOpmw,1.18.2.03,5,,Best game ever,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOEDVeQVHOJ-mccMn9z3NN7xDiuyNmEHVBOFkG0gKHCt-pTp_QhQaWZHyHWCtpntXB0VNcqVjmBicMKdgtU
gp:AOqpTOGVANVmFZYMAdZoD6ixQeq3gIikIwU7jEcaq-qOhbSkl3-AwGhiOTeKJ8QR7L3-dlB0yqA-aDgqMDpCrak,alicat maria,https://play-lh.googleusercontent.com/a-/AOh14GidGvkjs0S8sjrBJopcVE6bEY4b8yJ8KxSzcjc,1.18.2.03,5,,I love this game ngl I suggest this game!,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe&reviewId=gp:AOqpTOGVANVmFZYMAdZoD6ixQeq3gIikIwU7jEcaq-qOhbSkl3-AwGhiOTeKJ8QR7L3-dlB0yqA-aDgqMDpCrak
